weapon_type,firearm_caliber,weapon_description,trr_report_id
OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96612
OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96613
OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96614
OTHER (SPECIFY),,ATTEMPTED TO ACCELERATE CAR,96615
FIREARM - SEMI-AUTOMATIC, 45 ACP,GLOCK,96620
"MOUTH (SPIT,BITE,ETC)",,,96623
"MOUTH (SPIT,BITE,ETC)",,,96624
FIREARM - SEMI-AUTOMATIC, 9 MM,,96625
FEET,,,96626
FIREARM - SEMI-AUTOMATIC, 9 MM,,96626
HANDS/FISTS,,,96632
"MOUTH (SPIT,BITE,ETC)",,,96632
HANDS/FISTS,,,96634
VERBAL THREAT (ASSAULT),,,96636
VERBAL THREAT (ASSAULT),,,96637
VERBAL THREAT (ASSAULT),,,96638
VERBAL THREAT (ASSAULT),,,96639
VERBAL THREAT (ASSAULT),,,96651
OTHER (SPECIFY),,BLADING STANCE AND BALLING FISTS,96653
VERBAL THREAT (ASSAULT),,,96653
FIREARM - SEMI-AUTOMATIC, 9 MM,,96658
HANDS/FISTS,,,96659
VERBAL THREAT (ASSAULT),,,96659
"MOUTH (SPIT,BITE,ETC)",,,96664
HANDS/FISTS,,,96670
OTHER (SPECIFY),,OFFENDER PUSHED P.O. CUTRONE ,96670
VERBAL THREAT (ASSAULT),,,96670
HANDS/FISTS,,,96671
VERBAL THREAT (ASSAULT),,,96671
FEET,,,96672
HANDS/FISTS,,,96672
HANDS/FISTS,,,96674
OTHER (SPECIFY),,THRASHED ARMS AND LEGS,96674
HANDS/FISTS,,,96684
FIREARM - SEMI-AUTOMATIC,45 CAL,,96687
OTHER (SPECIFY),,COMBATIVE STANCE,96687
OTHER (SPECIFY),OTHER,SMITH & WESSON PLET GUN,96688
HANDS/FISTS,,,96694
VERBAL THREAT (ASSAULT),,,96694
FEET,,,96699
OTHER (SPECIFY),,OFFENDER STRUCK R/O WITH ELBOW,96700
FEET,,,96701
OTHER (SPECIFY),,FLICKED CIGARETTE ASHES IN P.O.FACE ,96703
FEET,,,96708
OTHER (SPECIFY),,VEHICLE,96712
VEHICLE - OFFICER STRUCK WITH VEHICLE,,,96712
HANDS/FISTS,,,96720
HANDS/FISTS,,,96721
OTHER (SPECIFY),,ADVANCED TOWARDS R/O IN MENACING MANNER,96721
HANDS/FISTS,,,96722
KNIFE/OTHER CUTTING INSTRUMENT,,,96722
OTHER (SPECIFY),,CHARGED AT OFFICER WITH CLENCHED FISTS,96722
VERBAL THREAT (ASSAULT),,,96722
OTHER (SPECIFY),,CHAIR,96723
FEET,,,96725
FEET,,,96726
HANDS/FISTS,,,96726
OTHER (SPECIFY),,CHAIR-WOODEN STOOL,96727
OTHER (SPECIFY),,CHAIR/STOOL THREAT,96727
FEET,,,96728
HANDS/FISTS,,,96728
FEET,,,96739
HANDS/FISTS,,,96742
FEET,,,96743
HANDS/FISTS,,,96743
FEET,,,96744
FEET,,,96745
FEET,,,96753
HANDS/FISTS,,,96753
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,96753
VERBAL THREAT (ASSAULT),,,96753
FEET,,,96754
HANDS/FISTS,,,96754
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,96754
VERBAL THREAT (ASSAULT),,,96754
FEET,,,96757
FEET,,,96759
FEET,,,96760
VERBAL THREAT (ASSAULT),,,96760
HANDS/FISTS,,,96761
VERBAL THREAT (ASSAULT),,,96761
"MOUTH (SPIT,BITE,ETC)",,,96765
VERBAL THREAT (ASSAULT),,,96765
VERBAL THREAT (ASSAULT),,,96768
HANDS/FISTS,,,96769
HANDS/FISTS,,,96772
OTHER (SPECIFY),,BRICK,96772
OTHER (SPECIFY),,THREATENED WITH A BRICK,96772
OTHER (SPECIFY),,BRICK,96773
OTHER (SPECIFY),,GLASS BOTTLE,96773
OTHER (SPECIFY),,MENACING MOTIONS WITH WEAPONS IN BOTH HANDS,96773
HANDS/FISTS,,,96774
OTHER (SPECIFY),,FINGERNAILS,96774
VERBAL THREAT (ASSAULT),,,96774
HANDS/FISTS,,,96776
HANDS/FISTS,,,96777
VERBAL THREAT (ASSAULT),,,96779
VERBAL THREAT (ASSAULT),,,96783
OTHER (SPECIFY),,MEDAL CYLINDRICAL MICROPHONE ,96785
HANDS/FISTS,,,96786
OTHER (SPECIFY),,MEDAL CYLINDER OBJECT,96786
OTHER (SPECIFY),,METAL OBJECT,96786
FEET,,,96787
FEET,,,96793
HANDS/FISTS,,,96793
VERBAL THREAT (ASSAULT),,,96793
HANDS/FISTS,,,96795
FEET,,,96797
FEET,,,96798
OTHER (SPECIFY),,OFFICER DRAGGED BY OFFENDERS VEHICLE ,96803
FEET,,,96806
HANDS/FISTS,,,96806
FIREARM - REVOLVER, 38 CAL,,96808
HANDS/FISTS,,,96809
VERBAL THREAT (ASSAULT),,,96809
HANDS/FISTS,,,96834
OTHER (SPECIFY),,PUSHED,96834
HANDS/FISTS,,,96837
HANDS/FISTS,,,96843
FEET,,,96844
HANDS/FISTS,,,96844
"MOUTH (SPIT,BITE,ETC)",,,96844
VERBAL THREAT (ASSAULT),,,96844
KNIFE/OTHER CUTTING INSTRUMENT,,,96845
KNIFE/OTHER CUTTING INSTRUMENT,,,96846
KNIFE/OTHER CUTTING INSTRUMENT,,,96847
KNIFE/OTHER CUTTING INSTRUMENT,,,96848
FIREARM - SEMI-AUTOMATIC,380 ACP,,96849
OTHER (SPECIFY),,NONE,96849
"MOUTH (SPIT,BITE,ETC)",,,96854
OTHER (SPECIFY),,CHARGED PO AGGRESSIVELY,96856
VERBAL THREAT (ASSAULT),,,96856
KNIFE/OTHER CUTTING INSTRUMENT,,,96857
OTHER (SPECIFY),,SHOVED R/O WITH HANDS AND BODY,96862
FEET,,,96864
HANDS/FISTS,,,96880
FEET,,,96881
OTHER (SPECIFY),,ATTEMPTED WRESTLE WITH AO,96884
OTHER (SPECIFY),,SPIT AT,96888
FIREARM - SEMI-AUTOMATIC,UNKNOWN,,96892
OTHER (SPECIFY),,BLOOD,96893
OTHER (SPECIFY),,PATHOGEN,96893
FEET,,,96894
HANDS/FISTS,,,96894
FIREARM - SEMI-AUTOMATIC,380 ACP,,96895
OTHER (SPECIFY),,POINTING FIREARM AT OFFICER,96895
FEET,,,96896
HANDS/FISTS,,,96896
VERBAL THREAT (ASSAULT),,,96901
HANDS/FISTS,,,96903
HANDS/FISTS,,,96904
"MOUTH (SPIT,BITE,ETC)",,,96904
HANDS/FISTS,,,96905
FIREARM - SEMI-AUTOMATIC,40 S&W,,96911
OTHER (SPECIFY),,SCISSORS,96912
KNIFE/OTHER CUTTING INSTRUMENT,UNKNOWN,SCISSORS,96913
OTHER (SPECIFY),,SCISSORS,96913
BLUNT INSTRUMENT,,,96919
FEET,,,96919
HANDS/FISTS,,,96919
OTHER (SPECIFY),,FIGHT STANCE,96920
VERBAL THREAT (ASSAULT),,,96920
OTHER (SPECIFY),,THREW BOTTLE AT P.O.,96921
HANDS/FISTS,,,96927
HANDS/FISTS,,,96930
OTHER (SPECIFY),,GUN GESTURED,96931
VERBAL THREAT (ASSAULT),,,96931
OTHER (SPECIFY),,GUN GESTURE,96932
VERBAL THREAT (ASSAULT),,,96932
VERBAL THREAT (ASSAULT),,,96933
FIREARM - SEMI-AUTOMATIC,45 CAL,,96934
FIREARM - SEMI-AUTOMATIC,45 CAL,,96935
FIREARM - SEMI-AUTOMATIC,45 CAL,,96936
FIREARM - SEMI-AUTOMATIC,45 CAL,,96937
FIREARM - SEMI-AUTOMATIC,45 CAL,,96938
HANDS/FISTS,,,96941
VERBAL THREAT (ASSAULT),,,96941
FEET,,,96942
HANDS/FISTS,,,96942
HANDS/FISTS,,,96945
OTHER (SPECIFY),,PUSH WITH 2 OPEN HANDS ,96945
VERBAL THREAT (ASSAULT),,,96947
HANDS/FISTS,,,97234
OTHER (SPECIFY),,CONCEALED HANDS AFTER TRAFFIC PURSUIT,96949
HANDS/FISTS,,,96953
OTHER (SPECIFY),,1 CAN MACE,96955
FEET,,,96961
VERBAL THREAT (ASSAULT),,,96961
FEET,,,96962
VERBAL THREAT (ASSAULT),,,96962
HANDS/FISTS,,,96966
"MOUTH (SPIT,BITE,ETC)",,,96967
FEET,,,96968
FEET,,,96969
HANDS/FISTS,,,96976
HANDS/FISTS,,,96980
OTHER (SPECIFY),,AGG POSTURE WHILE ADVANCING,96980
VERBAL THREAT (ASSAULT),,,96980
HANDS/FISTS,,,96984
HANDS/FISTS,,,96987
"MOUTH (SPIT,BITE,ETC)",,,96990
FEET,,,96991
"MOUTH (SPIT,BITE,ETC)",,,96991
HANDS/FISTS,,,96995
VERBAL THREAT (ASSAULT),,,96999
HANDS/FISTS,,,97001
KNIFE/OTHER CUTTING INSTRUMENT,,,97003
FIREARM - SEMI-AUTOMATIC,380 ACP,,97005
FIREARM - SEMI-AUTOMATIC, 9 MM,,97008
FIREARM - SEMI-AUTOMATIC, 9 MM,,97009
OTHER (SPECIFY),,BLADED STANCE W/ CLENCHED FIST,97011
"MOUTH (SPIT,BITE,ETC)",,,97014
HANDS/FISTS,,,97016
FIREARM - SEMI-AUTOMATIC, 9 MM,,97020
FIREARM - REVOLVER, 38 CAL,,97021
FIREARM - REVOLVER, 38 CAL,,97023
FIREARM - SEMI-AUTOMATIC, 9 MM,,97025
FIREARM - SEMI-AUTOMATIC, 9 MM,,97026
FIREARM - SEMI-AUTOMATIC, 9 MM,,97027
FIREARM - SEMI-AUTOMATIC, 9 MM,,97029
VERBAL THREAT (ASSAULT),,,97029
VERBAL THREAT (ASSAULT),,,97030
HANDS/FISTS,,,97031
"MOUTH (SPIT,BITE,ETC)",,,97031
VERBAL THREAT (ASSAULT),,,97031
VERBAL THREAT (ASSAULT),,,97032
VERBAL THREAT (ASSAULT),,,97033
KNIFE/OTHER CUTTING INSTRUMENT,,,97043
KNIFE/OTHER CUTTING INSTRUMENT,,,97044
FEET,,,97046
HANDS/FISTS,,,97046
FEET,,,97048
HANDS/FISTS,,,97048
OTHER (SPECIFY),,THROWN ROCK,97050
FEET,,,97054
FIREARM - SEMI-AUTOMATIC, 9 MM,,97055
OTHER (SPECIFY),,FLAILING OF ARMS PULLING AWAY,97056
OTHER (SPECIFY),,SQUAD CAR STRUCK INTENTIONALLY WHILE R/SGT WAS A PASSENGER,97064
OTHER (SPECIFY),,OFFENDER INTENTIONALLY STRUCK R/O'S VEHICLE,97065
FEET,,,97069
HANDS/FISTS,,,97069
VERBAL THREAT (ASSAULT),,,97069
FEET,,,97071
HANDS/FISTS,,,97071
VERBAL THREAT (ASSAULT),,,97071
HANDS/FISTS,,,97080
OTHER (SPECIFY),,ELBOW,97080
OTHER (SPECIFY),,CANINE,97082
OTHER (SPECIFY),,THREW BEER CAN WHICH STRUCK PO IN FACE,97087
HANDS/FISTS,,,97094
"MOUTH (SPIT,BITE,ETC)",,,97095
"MOUTH (SPIT,BITE,ETC)",,,97096
"MOUTH (SPIT,BITE,ETC)",,,97097
FEET,,,97098
FEET,,,97101
HANDS/FISTS,,,97101
"MOUTH (SPIT,BITE,ETC)",,,97101
FEET,,,97112
OTHER (SPECIFY),,SUBJECT KICKED TOWARDS R/O SEVERAL TIMES,97112
VERBAL THREAT (ASSAULT),,,97112
VERBAL THREAT (ASSAULT),,,97114
FEET,,,97117
HANDS/FISTS,,,97117
FEET,,,97118
HANDS/FISTS,,,97118
OTHER (SPECIFY),,ATTEMPTED TO OBTAIN ANOTHER OFFICERS WEAPON,97118
VERBAL THREAT (ASSAULT),,,97118
FEET,,,97119
HANDS/FISTS,,,97119
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,97121
OTHER (SPECIFY),,ASSUMED FIGHTING STANCE,97125
OTHER (SPECIFY),,ASSUMED FIGHTING STANCE.,97126
FIREARM - REVOLVER, 38 CAL,,97139
FIREARM - REVOLVER, 38 CAL,,97140
FIREARM - REVOLVER, 38 CAL,,97141
OTHER (SPECIFY),,WHEELCHAIR,97144
OTHER (SPECIFY),,WHEELCHAIR,97145
FIREARM - SEMI-AUTOMATIC,45 CAL,,97146
HANDS/FISTS,,,97151
FEET,,,97152
HANDS/FISTS,,,97152
OTHER (SPECIFY),,HEADBUTT,97152
FEET,,,97153
HANDS/FISTS,,,97153
OTHER (SPECIFY),,HEADBUTT,97153
FEET,,,97154
KNIFE/OTHER CUTTING INSTRUMENT,,SMALL BLACK KNIFE,97156
FIREARM - SEMI-AUTOMATIC,25 ACP,,97158
HANDS/FISTS,,,97158
OTHER (SPECIFY),,WRESTLED A/O,97158
FEET,,,97163
VERBAL THREAT (ASSAULT),,,97163
FIREARM - SEMI-AUTOMATIC,40 S&W,,97165
HANDS/FISTS,,,97165
OTHER (SPECIFY),,RAN AT OFFICER AND PUSH,97165
FIREARM - SEMI-AUTOMATIC,OTHER,40CAL,97166
HANDS/FISTS,,,97166
OTHER (SPECIFY),,PUSHED OFFICER,97166
HANDS/FISTS,,,97169
VERBAL THREAT (ASSAULT),,,97169
HANDS/FISTS,,,97193
HANDS/FISTS,,,97194
VEHICLE - OFFICER STRUCK WITH VEHICLE,,,97195
HANDS/FISTS,,,97196
HANDS/FISTS,,,97197
"MOUTH (SPIT,BITE,ETC)",,,97199
FEET,,,97200
FEET,,,97202
HANDS/FISTS,,,97210
FIREARM - SEMI-AUTOMATIC, 38 CAL,,97218
OTHER (SPECIFY),,THREW ALCOHOL ON P.O. ,97222
VERBAL THREAT (ASSAULT),,,97222
FIREARM - REVOLVER, 38 CAL,,97226
FIREARM - REVOLVER, 38 CAL,,97227
FIREARM - REVOLVER, 38 CAL,,97228
FIREARM - REVOLVER, 38 CAL,,97231
FEET,,,97236
OTHER (SPECIFY),,KICKING,97236
FIREARM - REVOLVER, 38 CAL,,97237
FEET,,,97238
"MOUTH (SPIT,BITE,ETC)",,,97241
HANDS/FISTS,,,97242
OTHER (SPECIFY),,THREATENED TO ATTACK OFFICERS,97242
VERBAL THREAT (ASSAULT),,,97242
HANDS/FISTS,,,97243
HANDS/FISTS,,,97244
FEET,,,97245
HANDS/FISTS,,,97245
"MOUTH (SPIT,BITE,ETC)",,,97245
VERBAL THREAT (ASSAULT),,,97245
HANDS/FISTS,,,97246
"MOUTH (SPIT,BITE,ETC)",,,97246
VERBAL THREAT (ASSAULT),,,97246
HANDS/FISTS,,,97248
VERBAL THREAT (ASSAULT),,,97248
HANDS/FISTS,,,97249
FEET,,,97252
HANDS/FISTS,,,97252
OTHER (SPECIFY),,CHOKE,97252
VERBAL THREAT (ASSAULT),,,97252
HANDS/FISTS,,,97253
HANDS/FISTS,,,97261
OTHER (SPECIFY),,ACTED AS IF HE WAS GOING TO THROW A CUP AT OFFICER,97261
OTHER (SPECIFY),,PLASTIC CUP,97262
OTHER (SPECIFY),,PLASTIC CUP,97263
HANDS/FISTS,,,97265
OTHER (SPECIFY),,KICKED AT OFFICER,97269
HANDS/FISTS,,,97273
HANDS/FISTS,,,97275
HANDS/FISTS,,,97277
VERBAL THREAT (ASSAULT),,,97279
"MOUTH (SPIT,BITE,ETC)",,,97282
HANDS/FISTS,,,97284
FEET,,,97285
HANDS/FISTS,,,97285
"MOUTH (SPIT,BITE,ETC)",,,97285
VERBAL THREAT (ASSAULT),,,97285
"MOUTH (SPIT,BITE,ETC)",,,97287
VERBAL THREAT (ASSAULT),,,97287
VERBAL THREAT (ASSAULT),,,97289
"MOUTH (SPIT,BITE,ETC)",,,97290
VERBAL THREAT (ASSAULT),,,97290
VERBAL THREAT (ASSAULT),,,97291
VERBAL THREAT (ASSAULT),,,97292
HANDS/FISTS,,,97296
OTHER (SPECIFY),,STRUCK WITH CLENCHED FIST,97296
VERBAL THREAT (ASSAULT),,,97297
HANDS/FISTS,,,97298
VERBAL THREAT (ASSAULT),,,97298
OTHER (SPECIFY),,SWINGING DOOR FRAME,97299
BLUNT INSTRUMENT,,PIECE OF BOARD,97300
FEET,,,97303
OTHER (SPECIFY),,STRUCK R/O WITH BODY,97305
VERBAL THREAT (ASSAULT),,,97305
VERBAL THREAT (ASSAULT),,,97308
HANDS/FISTS,,,97309
OTHER (SPECIFY),,LUNGED AT RO,97311
FIREARM - REVOLVER,22 LR,,97312
FEET,,,97316
HANDS/FISTS,,,97316
VERBAL THREAT (ASSAULT),,,97318
FIREARM - SEMI-AUTOMATIC, 9 MM,,97320
HANDS/FISTS,,,97326
KNIFE/OTHER CUTTING INSTRUMENT,,RAZOR BLADE,97329
OTHER (SPECIFY),,MACE,97329
HANDS/FISTS,,,97330
OTHER (SPECIFY),,HEAD-BUTT,97330
HANDS/FISTS,,,97331
VERBAL THREAT (ASSAULT),,,97331
OTHER (SPECIFY),,AGGRESSIVE ADVANCING TOWARD R/O,97333
VERBAL THREAT (ASSAULT),,,97333
FEET,,,97336
VERBAL THREAT (ASSAULT),,,97336
VERBAL THREAT (ASSAULT),,,97338
FEET,,,97339
VERBAL THREAT (ASSAULT),,,97339
OTHER (SPECIFY),,PUSHING WITH BODY,97348
HANDS/FISTS,,,97349
HANDS/FISTS,,,97350
OTHER (SPECIFY),,AGGRESIVELY STEPPED INTO PO,97353
FIREARM - SEMI-AUTOMATIC,UNKNOWN,BLACK HANDLE WITH SILVER BARREL,97355
HANDS/FISTS,,,97355
FEET,,,97358
OTHER (SPECIFY),,KICKING HIS LEGS,97358
FEET,,,97359
HANDS/FISTS,,,97359
HANDS/FISTS,,,97361
FEET,,,97362
HANDS/FISTS,,,97362
VERBAL THREAT (ASSAULT),,,97362
FIREARM - SEMI-AUTOMATIC,40 S&W,,97364
FIREARM - SEMI-AUTOMATIC,40 S&W,,97365
"MOUTH (SPIT,BITE,ETC)",,,97369
OTHER (SPECIFY),,THREATEN TO KILL MY FAMILY,97369
VERBAL THREAT (ASSAULT),,,97369
VERBAL THREAT (ASSAULT),,,97370
FIREARM - SEMI-AUTOMATIC, 9 MM,,97371
HANDS/FISTS,,,97377
VERBAL THREAT (ASSAULT),,,97377
HANDS/FISTS,,,97378
OTHER (SPECIFY),,CLENCHED FISTS,97378
VERBAL THREAT (ASSAULT),,,97378
HANDS/FISTS,,,97379
"MOUTH (SPIT,BITE,ETC)",,,97379
VERBAL THREAT (ASSAULT),,,97379
"MOUTH (SPIT,BITE,ETC)",,,97380
FIREARM - SEMI-AUTOMATIC,45 CAL,,97381
HANDS/FISTS,,,97382
BLUNT INSTRUMENT,,LARGE ROCKS,97384
BLUNT INSTRUMENT,,SANDBAG,97384
HANDS/FISTS,,,97384
"MOUTH (SPIT,BITE,ETC)",,,97384
OTHER (SPECIFY),,LARGE ROCKS/SANDBAG,97384
VERBAL THREAT (ASSAULT),,,97384
FEET,,,97385
HANDS/FISTS,,,97385
"MOUTH (SPIT,BITE,ETC)",,,97385
HANDS/FISTS,,,97387
BLUNT INSTRUMENT,,LARGE ROCK,97388
OTHER (SPECIFY),,STUCK IN BACK OF HEAD WITH ROCK,97388
"MOUTH (SPIT,BITE,ETC)",,,97389
OTHER (SPECIFY),,BITE ON RIGHT ARM,97389
HANDS/FISTS,,,97391
VERBAL THREAT (ASSAULT),,,97392
FIREARM - SEMI-AUTOMATIC,OTHER,SPRIGFIELD X-D- 40 CAL,97393
VERBAL THREAT (ASSAULT),,,97396
HANDS/FISTS,,,97399
OTHER (SPECIFY),,BLADED STANCE CLOSED FIST,97399
HANDS/FISTS,,,97402
HANDS/FISTS,,,97407
VERBAL THREAT (ASSAULT),,,97411
VERBAL THREAT (ASSAULT),,,97412
VERBAL THREAT (ASSAULT),,,97413
OTHER (SPECIFY),,TOOK A FIGHTING STANCE,97419
HANDS/FISTS,,,97425
HANDS/FISTS,,,97427
"MOUTH (SPIT,BITE,ETC)",,,97429
HANDS/FISTS,,,97432
OTHER (SPECIFY),,HEADBUTT,97432
FIREARM - SEMI-AUTOMATIC,45 CAL,,97444
VERBAL THREAT (ASSAULT),,,97445
HANDS/FISTS,,,97446
HANDS/FISTS,,,97447
"MOUTH (SPIT,BITE,ETC)",,,97451
HANDS/FISTS,,,97454
VERBAL THREAT (ASSAULT),,,97459
HANDS/FISTS,,,97461
HANDS/FISTS,,,97462
FEET,,,97463
FIREARM - SEMI-AUTOMATIC, 45 ACP,,97463
HANDS/FISTS,,,97463
FEET,,,97464
FIREARM - SEMI-AUTOMATIC,45 CAL,,97464
HANDS/FISTS,,,97464
HANDS/FISTS,,,97467
KNIFE/OTHER CUTTING INSTRUMENT,,,97468
OTHER (SPECIFY),,HEAD BUTT,97468
VERBAL THREAT (ASSAULT),,,97472
HANDS/FISTS,,,97477
VERBAL THREAT (ASSAULT),,,97479
VERBAL THREAT (ASSAULT),,,97480
OTHER (SPECIFY),,SUBJECT'S FINGERNAILS,97483
OTHER (SPECIFY),,HEAD,97496
FEET,,,97509
HANDS/FISTS,,,97512
OTHER (SPECIFY),,VERBAL THREAT,97513
HANDS/FISTS,,,97517
VERBAL THREAT (ASSAULT),,,97517
HANDS/FISTS,,,97518
OTHER (SPECIFY),,"CHEST, ARMS",97519
HANDS/FISTS,,,97521
VERBAL THREAT (ASSAULT),,,97521
"MOUTH (SPIT,BITE,ETC)",,,97522
OTHER (SPECIFY),,TACKLE/WRESTLE/ATTEMPT DISARM,97523
HANDS/FISTS,,,97529
HANDS/FISTS,,,97530
VERBAL THREAT (ASSAULT),,,97533
FEET,,,97535
VERBAL THREAT (ASSAULT),,,97537
OTHER (SPECIFY),,AGGRESSIVE FIGHTING STANCE,97543
FEET,,,97546
HANDS/FISTS,,,97546
"MOUTH (SPIT,BITE,ETC)",,,97546
VERBAL THREAT (ASSAULT),,,97546
OTHER (SPECIFY),,SCRATCHING,97547
FIREARM - SEMI-AUTOMATIC,40 S&W,,97551
FIREARM - SEMI-AUTOMATIC, 9 MM,TAURUS MILLENNIUM PT111 G2 9MM DEFACED SERIAL NUMBER,97556
HANDS/FISTS,,,97558
"MOUTH (SPIT,BITE,ETC)",,,97558
HANDS/FISTS,,,97559
"MOUTH (SPIT,BITE,ETC)",,,97559
OTHER (SPECIFY),,CHOKED,97559
VERBAL THREAT (ASSAULT),,,97559
HANDS/FISTS,,,97565
OTHER (SPECIFY),,NAILS,97565
OTHER (SPECIFY),,RAN INTO,97571
FEET,,,97578
VEHICLE - ATTEMPTED TO STRIKE OFFICER WITH VEHICLE,,,97580
HANDS/FISTS,,,97581
FEET,,,97587
BLUNT INSTRUMENT,,CHISEL HAMMER,97590
FIREARM - SEMI-AUTOMATIC, 9 MM,RUGER ,97592
FIREARM - SEMI-AUTOMATIC, 9 MM,RUGER,97593
OTHER (SPECIFY),,BODY,97593
FIREARM - SEMI-AUTOMATIC, 9 MM,RUGER,97594
FEET,,,97602
FIREARM - SEMI-AUTOMATIC, 9 MM,SMITH & WESSON SD9 VE,97608
OTHER (SPECIFY),,RAN AT R/O,97609
VERBAL THREAT (ASSAULT),,,97609
FIREARM - SEMI-AUTOMATIC, 9 MM,,97610
"MOUTH (SPIT,BITE,ETC)",,,97612
VERBAL THREAT (ASSAULT),,,97612
FEET,,,97613
HANDS/FISTS,,,97613
"MOUTH (SPIT,BITE,ETC)",,,97613
"MOUTH (SPIT,BITE,ETC)",,,97614
HANDS/FISTS,,,97620
VERBAL THREAT (ASSAULT),,,97620
OTHER (SPECIFY),,BLEACH/CAUSTIC SUBSTANCE,97625
OTHER (SPECIFY),,STRUCK BY BLEACH,97626
HANDS/FISTS,,,97628
FEET,,,97629
HANDS/FISTS,,,97633
KNIFE/OTHER CUTTING INSTRUMENT,,RAZOR BLADE BLACK/YELLOW COLORED,97635
KNIFE/OTHER CUTTING INSTRUMENT,,BOX CUTTER,97636
OTHER (SPECIFY),,OFFENDER TURNED ON PO AND TOOK AM AGGRESSIVE FIGHTING STANCE,97640
HANDS/FISTS,,,97642
OTHER (SPECIFY),,FIGHTING STANCE,97643
VERBAL THREAT (ASSAULT),,,97643
FEET,,,97646
HANDS/FISTS,,,97646
VERBAL THREAT (ASSAULT),,,97648
HANDS/FISTS,,,97650
